1 1
33 36 28
48 4 98 16
6 3 41 29
34 47 63 61
33 10 49 42
14 47 50 48
47 29 56 79
13 34 43 51
14 25 50 41
36 26 67 69
16 19 46 22
9 15 26 61
33 26 62 74
13 0 40 13
36 13 66 14
8 16 56 42
32 40 77 61
26 15 45 60
49 46 84 55
3 3 16 40
42 34 75 42
10 19 45 66
15 46 50 71
32 1 48 18
11 37 55 75
11 31 14 42
38 20 68 62
43 28 68 64
8 42 21 63
46 16 60 28
0 37 16 72
32 0 73 44
33 30 73 75
43 4 57 37
44 23 70 62
1 23 3 35
15 31 34 45
33 27 83 63
14 19 29 66
7 41 30 82
11 37 35 45
36 39 80 71
20 21 35 43
18 34 65 68
14 47 32 48
17 35 42 69
40 32 48 82
29 40 53 83
47 49 77 85
22 18 63 62
5 16 45 42
36 10 40 13
20 4 28 42
33 21 74 48
47 27 53 56
28 20 48 48
48 13 69 35
10 16 44 34
23 42 56 54
35 13 39 22
12 45 31 94
10 26 29 36
23 37 27 42
23 31 31 55
29 44 76 87
30 9 43 15
47 16 52 51
9 42 41 66
1 21 40 35
8 22 58 57
5 40 17 71
21 3 45 4
20 42 21 45
12 7 17 17
8 44 34 62
8 40 45 51
26 23 41 61
15 21 64 42
9 0 23 33
36 33 41 42
6 10 34 29
31 28 51 70
46 8 71 14
10 15 12 55
17 26 58 59
38 5 88 6
12 32 20 81
11 7 29 27
47 38 67 67
39 20 58 56
42 42 73 47
33 43 41 44
0 35 22 74
20 40 61 75
47 33 73 45
44 30 87 72
13 20 34 25
38 42 81 73
22 35 57 44
44 8 75 53
2 34 48 57
37 7 63 43
2 48 45 95
36 40 67 90
1 6 14 46
4 22 53 51
32 38 40 65
37 20 85 60
44 14 50 47
32 19 56 56
15 34 33 38
49 4 74 5
36 42 47 85
8 23 23 65
21 19 33 30
10 2 51 8
47 39 64 71
39 17 48 24
25 11 27 36
28 27 44 44
26 11 46 46
33 27 70 34
49 16 97 27
39 17 60 54
36 17 45 45
16 35 53 79
37 19 84 37
12 34 59 75
17 24 63 25
31 8 34 39
1 42 27 83
47 26 59 61
19 13 65 49
31 30 33 51
47 38 48 50
46 1 71 16
19 16 48 19
32 32 58 66
2 23 30 73
40 35 42 46
46 47 96 77
2 49 31 99
28 13 68 40
13 40 30 75
44 36 54 63
34 9 56 48
0 39 35 80
35 0 61 32
26 12 27 41
28 29 43 38
3 34 48 54
11 5 39 13
36 34 79 57
15 10 61 26
32 7 82 25
26 1 35 4
10 32 24 71
27 46 42 80
8 4 39 24
7 27 17 73
1 17 15 36
10 35 40 78
31 12 75 20
3 12 17 26
28 1 75 8
10 41 60 61
31 40 77 80
4 36 24 45
32 26 37 72
33 37 48 52
7 24 9 35
14 23 53 67
34 1 61 47
25 16 70 23
39 47 46 93
26 3 61 14
40 5 73 29
48 40 94 46
46 17 63 31
4 8 45 49
18 35 30 79
5 1 7 46
10 41 12 80
35 48 83 74
31 0 38 30
1 34 44 84
10 14 12 29
43 5 66 17
33 6 76 47
46 36 56 45
10 46 39 94
25 24 70 31
0 35 26 39
19 5 41 36
24 46 44 64
44 30 48 60
46 20 83 65
45 2 54 11
36 5 85 19
44 21 75 69
7 0 16 29
29 8 37 12
29 22 37 48
10 4 13 13
40 2 67 39
35 46 42 70
4 37 6 39
33 48 44 91
19 21 20 22
8 6 40 44
38 12 67 14
33 9 52 33
45 11 60 44
22 7 30 37
11 30 56 75
7 37 36 64
28 28 39 65
41 25 76 58
15 33 55 82
8 23 53 29
10 39 46 73
44 12 91 18
43 0 86 1
20 28 60 29
49 37 56 80
41 24 56 33
4 8 14 23
4 19 36 36
18 49 29 63
6 18 20 68
5 1 26 29
11 28 41 41
36 5 54 35
33 39 63 77
39 3 87 49
30 11 55 61
34 14 46 58
26 42 61 75
7 11 54 30
25 31 67 45
10 44 47 89
17 33 53 42
32 3 70 19
13 14 31 63
30 41 61 48
14 38 50 62
31 42 34 52
45 24 71 31
13 2 35 33
6 41 42 81
24 6 69 45
11 38 32 80
2 48 32 67
16 42 55 43
42 9 77 48
11 46 47 71
6 6 55 20
35 4 83 17
44 2 55 10
32 1 73 38
21 4 71 44
39 39 86 74
32 22 33 66
36 19 55 62
18 7 45 11
25 15 39 35
25 27 45 37
9 45 40 78
31 22 32 43
46 6 60 36
14 24 43 25
48 44 93 63
22 22 27 70
17 19 57 63
9 4 58 25
28 5 29 15
0 31 30 80
42 27 81 34
18 8 23 28
48 37 52 58
7 19 19 46
3 21 44 36
38 36 65 53
26 27 68 56
22 26 32 42
49 23 54 41
8 38 41 47
37 30 64 75
39 22 41 65
42 6 87 37
22 49 66 98
36 26 65 36
37 26 40 65
8 8 58 27
31 28 78 49
24 14 33 29
12 6 52 11
35 34 51 42
10 7 46 54
14 5 48 9
37 42 71 91
33 18 34 35
46 37 96 59
9 37 13 59
42 25 86 53
10 36 23 57
47 17 91 29
28 17 53 34
8 16 18 60
9 9 46 17
35 30 82 76
2 16 20 63
13 24 56 48
6 44 17 48
6 17 20 52
39 2 74 52
43 42 62 47
5 13 10 56
2 37 47 42
11 1 18 28
48 0 76 5
39 9 86 55
11 30 38 33
12 2 45 10
3 11 50 22
0 2 28 6
21 7 62 42
48 11 59 60
37 4 51 32
11 24 25 49
42 26 47 31
39 14 68 57
25 2 53 30
4 30 9 56
46 10 87 55
0 42 24 83
38 19 85 69
12 25 56 30
48 10 50 48
32 29 57 39
2 36 36 43
37 34 55 71
9 30 56 40
19 1 45 9
23 8 44 44
14 39 48 54
36 3 39 22
26 27 59 58
17 37 34 42
33 42 55 87
17 5 43 44
0 47 8 71
27 9 35 53
42 7 43 36
2 47 13 79
44 11 71 23
42 18 91 46
21 21 32 62
37 30 67 68
36 13 66 27
36 9 61 38
24 9 41 39
27 10 36 32
34 35 58 65
24 8 28 54
15 38 48 42
11 42 30 90
0 12 6 49
31 17 53 26
38 37 65 55
34 40 84 61
22 1 50 48
32 44 43 93
42 3 75 7
2 2 50 7
5 41 20 78
38 44 49 73
38 45 72 68
34 44 72 52
15 5 62 53
6 47 56 48
33 3 36 42
0 42 6 48
21 41 57 53
45 39 84 73
23 7 60 16
26 15 29 57
0 40 21 49
22 8 61 16
40 45 52 86
18 47 59 89
25 3 67 27
29 8 74 11
33 10 50 20
20 0 48 23
0 30 41 55
30 31 69 53
49 13 79 33
19 12 31 59
4 19 22 53
12 37 41 83
46 4 47 21
29 38 36 68
46 5 65 35
8 0 46 8
18 28 34 66
28 35 69 68
8 17 14 40
35 19 43 51
7 49 31 86
29 18 69 46
7 6 31 22
12 24 21 55
26 19 31 26
46 39 52 46
12 28 21 76
15 30 63 53
22 11 52 15
18 33 50 61
6 44 48 64
2 1 23 30
26 34 50 57
30 29 56 74
34 41 44 91
9 24 33 56
2 37 38 60
16 1 37 26
11 43 57 59
17 43 65 87
22 17 53 22
7 48 54 90
8 43 48 61
12 0 30 17
4 40 42 63
9 46 51 70
38 38 81 44
39 0 72 14
14 17 32 39
16 15 32 40
6 41 15 62
25 38 67 68
31 1 60 42
19 13 67 23
41 16 44 49
36 45 53 46
35 23 50 25
29 27 68 65
46 7 65 31
12 4 58 48
25 35 33 82
5 5 55 54
3 31 27 71
39 41 66 69
41 30 56 53
5 10 14 12
26 27 46 68
15 33 47 76
39 39 59 86
20 44 67 68
20 14 46 26
4 38 10 84
21 19 41 46
27 30 57 36
49 46 57 63
38 8 70 38
2 25 52 50
46 47 69 64
47 27 59 29
18 48 35 89
37 16 56 33
49 21 96 70
5 16 25 63
1 25 29 31
26 30 30 53
25 38 55 61
43 26 62 38
36 1 63 25
44 39 65 86
18 46 31 71
32 20 46 56
40 42 88 61
0 43 23 69
4 0 38 48
1 8 30 46
4 12 17 14
32 47 34 50
16 26 60 27
8 37 57 38
48 19 78 68
4 26 17 35
47 5 76 55
8 36 22 51
27 15 29 25
4 12 19 33
10 20 51 39
41 21 49 61
39 39 80 83
4 3 22 5
47 2 56 8
23 22 65 24
42 12 82 59
4 19 31 36
19 34 59 45
49 1 55 42
47 33 90 37
12 7 51 19
46 19 58 41
2 24 44 71
30 43 68 80
15 2 28 37
3 46 43 51
46 44 94 91
42 49 72 56
17 17 26 33
22 37 59 62
27 21 39 30
0 46 17 63
30 0 80 36
38 40 86 75
46 30 83 71
16 46 49 82
42 1 57 16
2 41 43 72
3 40 18 45
30 22 67 35
37 47 60 73
21 10 61 31
26 10 69 53
24 29 34 49
25 33 56 61
20 9 45 34
38 30 88 51
38 32 41 58
26 1 59 50
21 20 35 68
7 41 40 76
41 3 63 20
3 46 42 73
13 2 19 6
7 26 40 72
36 20 45 33
42 12 66 27
38 13 71 62
15 32 23 41
28 27 66 61
25 9 49 50
28 46 40 82
45 32 68 64
32 46 38 72
28 39 37 59
43 17 48 28
11 20 13 62
38 25 86 39
20 6 57 8
48 38 51 84
24 29 48 36
28 31 54 40
35 29 58 60
27 40 74 81
47 32 61 70
10 1 18 35
43 36 51 80
9 39 36 75
49 41 68 69
45 38 69 69
47 13 65 38
16 15 22 31
18 3 68 33
6 14 13 16
15 47 16 74
26 11 65 38
8 5 11 9
27 35 71 61
11 1 60 29
6 42 25 67
17 3 65 27
3 27 21 46
19 44 46 91
14 24 20 47
10 27 40 65
25 14 40 51
15 15 32 37
34 45 44 48
7 27 9 38
20 31 27 72
32 38 58 85
33 20 46 64
41 32 91 49
16 4 64 36
13 4 35 54
31 1 33 42
2 2 34 28
37 15 71 36
11 18 17 65
17 39 59 50
42 29 66 38
20 41 54 77
7 37 55 78
49 30 88 34
21 28 56 38
20 31 66 65
0 29 2 49
42 30 63 68
43 47 53 64
44 3 84 7
38 43 79 81
31 41 57 44
12 13 34 46
17 15 62 35
46 39 91 80
14 27 36 37
30 25 56 52
16 30 48 35
21 42 47 47
3 7 39 23
6 47 29 73
17 45 32 59
8 3 45 28
7 33 39 73
8 17 20 42
42 28 92 44
25 22 48 53
7 45 39 62
3 41 46 62
8 35 47 52
24 42 64 76
22 22 50 55
38 6 81 39
41 0 78 19
9 48 32 67
5 34 51 43
39 29 68 77
16 15 31 59
5 26 13 56
35 11 37 37
45 10 65 47
6 7 19 25
36 35 44 77
3 49 26 92
0 40 31 59
47 11 53 16
15 34 56 35
43 27 91 66
17 24 55 48
1 40 35 78
41 28 69 75
1 38 32 42
10 22 41 32
36 14 72 18
27 5 28 26
47 8 80 23
22 37 58 61
18 11 48 23
9 7 49 18
19 16 66 49
28 41 67 58
25 19 33 23
7 25 32 31
7 19 42 51
19 4 29 44
40 1 56 3
7 12 16 41
6 10 35 46
18 1 23 47
11 0 33 20
45 26 72 31
12 35 58 67
6 20 47 70
7 0 31 17
32 45 47 86
42 25 50 38
13 10 43 38
0 46 11 94
38 4 63 5
21 31 61 60
31 29 36 71
27 7 57 19
44 2 49 41
14 3 44 33
8 6 22 17
25 10 30 25
28 14 43 15
3 30 52 68
4 28 14 62
38 45 76 80
44 23 94 32
28 37 57 77
41 49 88 68
0 32 10 62
23 29 73 59
47 16 57 20
20 36 67 45
33 45 67 73
32 37 53 51
48 2 76 44
23 9 27 35
13 4 56 43
43 19 79 62
46 45 84 62
33 27 65 47
15 48 38 98
42 12 81 53
15 31 30 72
20 15 63 49
36 23 59 53
7 21 53 26
32 22 51 41
2 39 52 59
21 18 61 34
27 5 61 50
49 34 88 54
33 4 36 24
24 49 53 83
23 39 46 47
43 25 56 71
13 14 30 52
6 2 41 36
17 30 28 48
0 36 17 70
18 3 60 48
21 28 26 75
28 5 46 27
29 18 63 62
49 32 84 38
19 41 54 80
44 7 66 55
39 30 84 39
37 4 73 15
39 8 72 29
0 41 14 73
46 26 59 73
46 3 55 21
45 6 90 48
17 38 31 48
9 19 29 68
6 8 30 57
6 18 23 27
32 41 44 70
23 26 42 47
28 37 59 61
26 15 72 62
9 5 13 26
24 19 49 53
47 31 75 37
46 13 96 42
10 8 18 45
25 8 61 12
15 29 63 71
43 37 88 42
49 24 94 51
18 9 64 28
25 23 68 45
41 1 81 5
46 41 56 65
44 28 94 40
47 3 57 44
3 46 46 52
39 33 62 41
18 27 63 71
36 16 40 46
42 32 60 73
28 15 53 39
25 34 71 57
5 14 45 25
34 15 45 39
35 32 36 36
44 46 55 79
13 11 26 19
31 49 76 59
20 34 37 80
11 20 33 37
12 27 49 74
49 21 94 56
45 37 52 79
16 24 52 56
49 40 87 71
31 41 73 45
7 1 34 20
47 37 71 49
9 10 24 19
10 44 42 52
37 49 71 55
18 38 44 56
12 49 41 96
19 1 61 30
19 47 24 66
27 29 62 69
0 49 40 60
23 18 68 31
27 20 47 67
46 15 55 26
39 6 57 17
8 39 19 69
14 47 53 90
24 31 53 56
18 36 49 80
26 5 33 10
27 2 55 28
36 36 56 64
36 37 81 82
4 23 31 43
16 13 39 54
1 16 48 38
28 14 34 20
11 11 33 53
49 16 63 54
32 14 37 36
49 15 51 21
30 26 72 73
15 37 55 54
37 39 41 56
8 23 14 46
27 15 64 44
1 15 35 49
38 6 68 46
32 44 55 57
15 9 37 42
12 1 59 2
1 18 42 31
46 36 90 62
29 3 33 34
36 15 55 42
49 15 72 47
46 44 57 58
31 45 37 89
3 45 50 50
39 18 53 54
8 10 15 48
9 17 25 64
33 22 67 57
7 15 46 19
0 16 10 50
14 28 26 48
10 24 35 74
39 34 84 83
1 35 48 46
11 8 17 55
40 30 72 78
21 0 69 24
9 6 28 32
31 45 66 87
10 40 30 41
15 0 42 17
24 27 60 65
42 33 80 66
18 29 34 71
13 14 45 37
49 49 70 81
7 22 52 40
15 17 31 49
43 47 61 66
5 5 32 53
14 32 56 67
6 28 18 50
45 45 88 90
15 27 61 50
39 39 42 45
17 36 27 47
28 30 64 66
14 35 51 66
27 14 45 50
30 9 73 35
37 22 42 25
1 26 51 68
1 48 19 69
26 33 63 41
21 42 35 80
1 17 31 48
46 16 79 44
26 4 54 18
31 17 58 53
28 28 72 60
11 4 38 44
12 46 50 82
2 25 44 30
20 34 63 52
24 46 27 50
29 16 30 30
29 48 66 56
29 38 56 79
4 30 47 49
31 5 60 40
19 40 50 83
23 9 50 59
31 2 39 13
9 25 31 64
7 45 31 84
1 31 38 37
30 23 44 36
41 48 71 62
9 5 50 38
16 34 33 82
23 10 60 45
9 23 45 42
11 7 32 20
8 18 47 58
1 3 45 48
24 9 26 44
43 18 58 28
32 9 35 17
41 42 61 45
6 21 22 39
37 32 68 79
18 35 21 57
45 17 86 38
41 6 69 43
43 45 70 72
29 35 36 58
27 24 55 61
44 3 92 36
27 30 65 78
39 20 55 58
5 9 44 58
17 34 33 47
41 40 73 63
40 46 67 64
5 5 27 6
18 34 28 83
48 45 63 84
31 27 48 66
6 38 43 64
3 37 28 84
7 19 36 67
4 17 22 29
38 11 61 21
33 7 81 40
13 22 18 67
20 34 22 63
37 3 60 46
46 38 88 43
21 1 31 29
27 38 48 56
43 28 46 57
49 10 85 26
42 9 77 24
35 43 82 68
18 16 67 32
41 21 49 34
18 41 43 87
45 15 76 56
32 18 76 52
31 48 63 72
17 39 28 43
6 27 39 52
31 41 78 66
3 37 18 61
39 21 68 58
10 26 47 69
31 28 78 43
29 39 56 87
36 2 66 47
11 19 43 64
27 19 40 52
27 6 36 25
38 4 66 54
15 43 48 90
30 11 54 22
0 9 1 48
29 33 41 77
44 39 49 64
18 6 29 54
18 15 33 25
43 8 63 19
1 9 5 44
27 46 50 76
24 19 30 24
18 49 23 62
10 36 51 66
1 26 47 46
11 30 54 38
13 17 54 35
44 1 73 25
0 2 48 28
2 31 26 54
28 36 59 75
20 17 44 39
20 43 67 77
40 40 66 44
16 20 27 33
38 35 62 75
20 16 60 41
12 46 60 87
27 31 63 81
10 23 11 54
46 15 65 52
43 42 50 54
18 23 33 32
38 49 47 58
49 35 65 50
12 4 46 46
18 43 56 72
38 10 55 45
36 23 63 55
34 43 50 46
29 10 46 28
27 28 40 55
27 40 41 81
48 31 96 49
34 45 59 70
42 9 51 40
34 12 69 31
49 22 57 53
23 0 58 3
46 31 77 56
45 16 69 60
22 10 70 18
24 31 33 50
16 49 59 52
26 22 40 50
20 10 65 56
28 0 39 28
40 3 72 41
4 30 24 58
18 36 62 81
3 13 23 35
14 23 29 66
29 20 75 22
41 48 72 70
42 48 91 83
29 21 31 58
22 15 26 57
46 35 50 85
24 22 25 61
14 31 60 75
42 46 46 80
35 7 81 35
43 11 49 37
9 13 44 45
37 24 66 61
33 37 44 45
10 46 21 74
7 22 37 25
34 37 54 57
14 48 59 56
2 32 14 44
45 44 91 79
25 20 45 29
29 18 38 60
20 18 35 46
45 29 87 59
12 0 30 27
11 33 60 49
9 26 28 31
15 40 39 84
42 3 54 27
19 16 41 56
37 18 73 51
28 13 77 54
17 18 31 49
13 46 17 69
21 28 46 68
47 32 67 72
32 14 70 16
9 42 41 89
18 31 31 80
12 40 57 70
10 12 19 38
13 48 24 84
34 26 63 59
49 23 60 55
47 34 88 41
23 3 52 45
41 41 78 45
32 35 64 80
41 20 89 25
7 41 28 85
48 25 68 74
29 29 31 57
43 35 60 52
44 7 85 43
26 39 27 49
33 3 60 30
23 32 47 65
43 25 68 70
43 44 47 70
6 4 32 54
41 15 81 52
30 21 55 30
24 19 37 29
38 35 62 49
48 45 66 90
43 40 67 78
28 14 63 49
9 35 28 37
7 37 10 77
26 48 37 51
23 11 43 23
42 25 91 69
15 39 38 49
47 48 77 74
15 11 28 36
32 27 79 67
48 31 65 58
27 30 59 31
0 13 44 59
41 40 82 50
15 18 45 31
10 40 29 66
30 1 32 14
48 3 80 52
47 27 84 52
17 26 25 47
1 15 44 60
32 3 38 53
36 12 60 61
41 25 44 49
5 37 34 41
9 4 51 12
27 33 59 81
40 17 51 61
2 40 37 77
41 36 85 64
17 25 18 36
4 34 7 44
30 15 52 56
14 49 36 94
4 41 37 86
42 40 53 87
44 35 75 71
25 14 49 57
23 5 65 33
43 38 83 62
10 15 14 43
26 21 41 52
47 25 60 67
22 40 40 59
47 3 73 26
48 17 68 41
10 2 33 8
13 28 54 54
46 2 93 25
10 3 34 11
37 1 68 13
47 29 89 76
16 20 51 37
3 39 43 55
13 20 55 47
31 4 33 34
47 2 54 10
32 17 40 37
39 31 58 68
9 34 20 62
47 43 52 44
44 18 77 26
23 36 62 43
41 36 82 75
46 48 87 77
47 0 63 39
33 26 65 71
43 21 54 62
16 43 31 54
48 20 60 42
1 29 10 73
48 31 64 78
7 27 37 34
46 44 74 76
10 25 31 29
30 44 79 94
14 11 54 24
0 35 32 39
39 46 55 86
32 36 63 79
11 48 25 57
42 41 86 44
15 5 33 54
17 47 19 82
40 46 49 89
42 46 77 80
1 23 46 59
24 27 34 64
24 46 51 63
21 18 61 55
8 36 32 63
27 10 61 28
44 12 53 49
42 19 51 65
2 31 45 61
3 17 12 45
36 45 52 53
4 46 18 60
39 39 72 56
18 35 20 48
9 0 59 5
7 49 27 62
14 41 45 61
41 49 52 77
25 37 70 67
10 42 46 92
19 17 53 55
34 1 39 48
4 0 6 14
23 25 25 63
34 6 53 32
28 4 34 8
2 35 44 48
26 11 54 60
13 35 44 83
36 45 76 86
40 6 86 20
47 2 81 34
2 8 12 41
16 38 29 57
4 30 28 63
2 32 46 48
25 15 44 30
7 6 18 56
6 15 19 21
46 38 64 39
26 32 73 78
10 15 31 32
43 1 92 48
43 11 77 33
1 35 30 46
39 12 81 60
4 2 32 3
44 0 87 24
40 20 75 21
5 17 41 18
33 46 52 76
1 0 12 6
38 17 74 47
26 26 56 59
8 34 37 38
22 28 59 41
21 13 70 40
35 28 66 50
48 0 74 2
37 6 38 34
37 7 64 23
5 48 39 65
14 19 47 56
19 49 69 92
49 20 62 55
44 5 93 50
25 45 33 58
7 42 12 89
30 12 80 50
34 3 45 52
44 37 69 53
23 7 62 30
2 9 30 56
26 42 41 44
24 16 62 50
43 30 52 54
9 13 52 57
4 44 21 93
41 16 73 33
19 41 43 65
3 19 4 51
16 34 30 75
0 24 1 71
10 21 15 41
48 15 83 18
1 2 11 47
42 10 61 24
44 36 48 84
3 28 11 49
20 12 33 35
15 18 52 44
42 47 85 88
26 44 39 74
23 25 71 43
17 30 56 42
41 10 60 56
25 17 66 65
3 19 33 40
16 47 57 56
32 1 79 12
10 40 56 74
44 0 62 13
5 25 38 73
0 44 37 72
26 24 38 56
40 3 85 12
36 19 38 38
49 28 70 39
15 45 36 56
38 22 85 68
30 42 80 74
37 10 76 27
49 47 85 90
31 2 35 20
6 37 28 43
41 15 57 23
38 17 50 46
9 23 51 63
42 22 61 53
6 46 42 55
20 2 66 4
48 20 53 25
26 12 34 30
22 26 50 39
40 40 86 42
38 43 55 75
34 11 50 54
0 2 8 25
4 25 9 29
9 9 55 47
2 4 24 32
1 41 35 85
28 45 61 63
0 48 39 83
5 28 17 37
20 30 52 55
37 29 44 76
3 35 43 44
12 35 53 51
25 9 52 13
10 22 15 33
42 46 63 94
33 5 61 9
8 28 47 74
46 44 56 94
48 7 78 21
21 28 66 75
23 2 63 36
43 46 68 84
47 37 92 68
21 34 66 64
32 27 47 56
23 30 47 55
4 37 44 64
34 24 52 32
7 42 34 45
3 40 44 41
35 30 63 37
21 38 38 45
30 36 48 43
40 30 59 75
8 22 28 67
38 3 86 49
25 0 73 29
38 30 81 54
19 31 33 74
29 0 49 11
36 16 76 45
7 23 56 39
17 11 65 17
46 3 61 26
12 2 18 3
47 25 83 44
48 12 55 40
28 39 42 56
2 45 10 57
5 27 26 52
17 32 58 47
5 38 43 56
42 19 85 61
27 9 74 35
2 5 26 38
36 49 81 90
4 2 49 12
14 36 46 70
21 47 42 76
7 47 45 49
30 44 49 52
14 35 18 55
26 1 67 17
36 7 39 48
46 2 58 15
44 46 83 65
10 46 56 66
33 20 80 36
14 22 31 52
19 48 29 96
1 14 3 53
4 28 27 31
35 15 68 46
22 48 36 81
